sentence,group,step,stl_formula,label,cosine_sim,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](rantes(t) < c(low))",1,0.50412,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,filtered,"globally[0,inf](d_rantes(t) < 0) and rantes(t) < c(low)",1,0.517632,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,consolidated,"globally[0,inf](d_rantes(t) = 0)",1,0.413245,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,consolidated,"globally[0,inf](d_rantes(t) < 0)",0,0.382511,,
"No elevation of RANTES was observed in the severe group during the disease progression, suggesting that RANTES may play an important role in protecting COVID-19 patients from developing severe illness (Supplemental Table 1 and Figure 5A).",1,consolidated,rantes(t) < c(low),1,0.593041,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),,0.575513,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) = c(high) and il8(t) = c(high) and tnfα(t) = c(high),,0.550159,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),,0.575513,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t)=c(high) and il8(t)=c(high) and tnfα(t)=c(high),,0.550159,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,raw,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),1,0.575513,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(mid) and il8(t) > c(mid) and tnfα(t) > c(mid),1,0.575513,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,filtered,il6(t) > c(high) and il8(t) > c(high) and tnfα(t) > c(high),1,0.550789,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,il6(t) > c(mid),1,0.36535,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,il8(t) > c(mid),1,0.299193,,
"We found that IL-6 (P<0.0001), IL-8 (P<0.0001) and TNF-α (P<0.0001) were significantly elevated in COVID-19 serum compared to healthy donor serum or plasma isolated from CAR T cell-treated patients with no CRS (Fig. 1).",1,consolidated,tnfα(t) > c(mid),1,0.476133,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) = c(low),,0.827487,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,"globally[0,inf](il1β(t) < c(low))",,0.684032,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,raw,il1β(t) < c(low),,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) = c(low),1,0.827487,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,filtered,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,consolidated,il1β(t) < c(low),1,0.805075,,
"In line with previous reports, IL-1β levels were mostly low or at the limit of detection of 0.1pg ml−1, even though the assay was able to detect various levels of recombinant control cytokines (Extended Data Fig. 1b).",0,consolidated,il1β(t) = c(low),1,0.827487,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) implies eventually[0,inf](igg(t) > c(high))",,0.300456,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) implies eventually[0,inf]globally(igg(t) > c(high))",,0.285519,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t)<c(low)) and eventually[0,inf](igg(t)=c(high))",,0.371957,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) = c(low)) and eventually[0,inf](igg(t) > c(high))",,0.358,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) = c(high))",,0.371957,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) implies eventually[0,inf](igg(t) > c(high))",,0.300456,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,raw,"globally[0,inf](igg(t) < c(low)) implies eventually[0,inf](igg(t) > c(high))",,0.300456,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t)<c(low)) and eventually[0,inf](igg(t)=c(high))",1,0.371957,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) = c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.358,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) = c(high))",1,0.371957,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
"While specific IgG were never detected in fatally-infected patients, high levels of Ebola virus-specific IgG were found in survivors as soon as the symptoms appeared.",0,filtered,"globally[0,inf](igg(t) < c(low)) and eventually[0,inf](igg(t) > c(high))",1,0.348634,,
